Código,Tema,Link
2240654,Método Gauss,https://proyecto-pe1-gauss-david-uis.streamlit.app/
2200237,Teorema de Pitágoras,https://proyectoprog-uis.streamlit.app/
2240657,Probabilidad,https://proyecto-gabrielablanco07-uis2024.streamlit.app/
2230637,Máximos y mínimos de una función,https://aplicativo-programacion-uis.streamlit.app/
2240650,Producto vectorial,https://proyecto-pvectorial.streamlit.app
2240645, Norma de un vector, https://proyecto-juan-jaimes-pe1-uis.streamlit.app/
2240646, Tipos de funciones y sus componentes, https://funciones-2-juanmedina.streamlit.app
2240660,Números Imaginarios,https://num-imaginarios.streamlit.app/
2240643,Congruencia y Semejanza de Triángulos,https://congruencia-y-semejanza.streamlit.app/
2240661,Proporcionalidad simple,https://prosimyregla3-29.streamlit.app/
